Site,Plot,Treatment,Microbial org N,Mic.total.N,CN,Mic C,Mic.NO3,Mic.NH4,Mineralised NO3,Mineralised NH4,Total mineralised N,Unmin nit,Unmin Amm,Unmin Tot N,Unmin DON,Min DON,DC-H2O,DOC-H2O,NO3- H2O,NH4- H2O,Total N H2O,Total Organic N H2O,BD
WH,1,fg2,659.54,802.24,14.37992229,369.2403954,22.07,120.62,3.45,5.17,26.93,1.526802205,4.080480229,18.90262199,13.29533956,18.32054646,11.71411433,11.21728169,0.815579228,0.212851426,23.87975014,22.85131949,0.9800416
WH,2,fg3,637.25,794.18,15.49063467,1634.264918,41.31,115.61,5.72,5.14,29.52,4.047285059,4.654033075,22.82889409,14.12757596,18.66629946,9.733355206,9.357293755,1.649607813,0.187580822,9.183004771,7.345816136,0.981326917
WH,3,fg1&2,543.14,662.54,15.46321641,1143.472176,12.44,106.96,3.95,5.02,20.31,0.603438804,3.967436734,13.56003289,8.989157355,11.34195016,8.635754506,8.002317298,0.367180147,0.159433485,27.149141,26.62252737,1.026844982
WH,4,fg1&3,693.44,845.74,13.48472961,955.6505249,23.98,128.32,5.90,5.09,24.49,2.171196237,4.328384756,18.84038025,12.34079926,13.49625659,12.0141307,11.31784739,1.271386393,0.217951953,15.99422124,14.50488289,0.973683622
WH,5,fg1,619.28,764.62,13.79212486,1193.329676,26.93,118.41,5.67,5.52,24.56,1.531375244,4.539188504,20.03148694,13.96092319,13.36373859,10.40876827,10.04449745,0.79210804,0.1314011,18.4323241,17.50881496,0.934932379
WH,6,fg2&3,623.08,764.25,14.18339057,1137.122467,24.26,116.91,5.02,5.12,22.96,1.334930617,5.180327767,16.27818379,9.762925407,12.81913902,14.44813679,13.86412583,0.975036527,0.430661295,31.41566701,30.00996918,1.03871727
WH,7,"fg1,2&3",680.03,826.07,12.93494163,1064.145595,17.28,128.76,6.84,6.78,27.50,1.029304781,6.287996514,18.54728038,11.22997908,13.87475383,13.07946695,12.39686851,0.827881651,0.216157089,20.88414768,19.84010894,1.083851782
WH,8,fg1,536.88,649.74,16.21604958,990.6018117,6.97,105.89,3.28,5.91,20.44,0.248788064,6.192805597,16.78310833,10.34151467,11.25395519,10.54726661,9.934478128,0.27496194,0.251873533,53.17152524,52.64468976,0.931082466
WH,9,fg1&2,577.69,704.33,14.6303739,1132.580083,15.2,111.44,3.60,5.38,20.76,1.052014484,5.205065126,15.84210046,9.585020853,11.777079,5.540883815,5.324701705,0.272969003,0.093534833,13.39329655,13.02679272,1.393726909
WH,10,fg2,585.84,719.39,12.20621925,1379.478148,15.7,117.85,4.80,5.43,23.70,0.856700316,4.654738382,20.61078176,15.09934306,13.47097364,11.64830548,11.07182456,0.573560657,0.117270766,35.65770557,34.96687414,0.821770717
WH,11,"fg1,2&3",567.01,683.39,12.32289651,753.4832394,4.01,112.37,0.74,5.14,16.73,-0.077005313,8.484585363,22.53455469,14.12697464,10.8483617,11.72689783,11.30127589,0.162127065,0.02431906,111.7325876,111.5461414,0.914846964
WH,12,fg2&3,573.72,703.11,13.26764097,1322.239413,11.93,117.46,3.41,5.45,20.92,1.059447111,9.771206475,25.57518822,14.74453463,12.05426029,11.75633994,11.31936376,0.422961247,0.079175012,42.94517072,42.44303446,1.027788123
WH,13,fg3,542.27,693.2,12.70800937,1393.46524,40.87,110.07,9.89,5.09,27.71,6.089762622,5.445039326,21.05883322,9.524031271,12.7326839,7.668381008,7.373220682,1.81914894,0.090887534,5.079915111,3.169878637,0.613727701
WH,14,fg1&3,349.81,443.54,9.957362063,2923.74765,25.73,68,6.82,4.44,21.63,2.17820013,2.722750162,11.98010071,7.079150422,10.3682592,14.16809397,13.54828197,2.292914592,0.076764244,22.9825503,20.61287146,1.102519318
WH,15,fg2,516.39,630.04,16.44537124,1145.479912,7.71,105.94,2.41,4.90,17.10,0.109044109,4.055077786,14.88452082,10.72039892,9.794440934,11.87508928,11.34026063,0.217422387,0.078845481,90.9526498,90.65638193,1.264123589
WH,16,fg1&3,577.29,703.33,14.86106216,627.6745494,6.57,119.48,3.47,6.63,22.48,0.23592302,4.792607628,13.42064949,8.392118843,12.38584974,10.5329852,10.0932299,0.24314796,0.083918322,63.75344498,63.4263787,1.121215241
WH,17,fg1&2,504.43,607.98,13.91381622,1164.406558,9.22,94.33,4.20,4.10,19.92,0.284125209,3.883044528,12.27150309,8.104333353,11.61320393,10.38471595,9.765887437,0.231336574,0.050972465,62.34022317,62.05791413,1.008521666
WH,18,fg3,487.9,609.92,15.06410927,1175.159221,30.28,91.75,8.79,5.69,27.49,2.40254672,4.524454079,16.08542676,9.158425957,13.01051814,14.63866877,13.27971326,1.82730898,0.167099051,17.19920995,15.20480192,1.300702673
WH,19,fg2&3,514.13,635.44,16.11073693,1157.998273,13.97,107.34,2.15,5.45,22.15,0.450860176,3.675193554,11.53109056,7.405036826,14.5421484,9.477831922,9.051690945,0.29638237,0.083881803,41.41942028,41.03915611,1.158078116
